name,chip,cpu_cores,gpu_cores,memory,storage,display_size,color,current_price,original_price,savings,discount_percentage,connectivity,url,model_sku,scraped_at
"Refurbished Mac mini Apple M4 Chip with 10-Core CPU and 10-Core GPU, Gigabit Ethernet",M4,10-Core CPU,10-Core GPU,32GB,256GB,,,,,,,Gigabit Ethernet,https://www.apple.com/uk/shop/product/G1CFAB/A/Refurbished-Mac-mini-Apple-M4-Chip-with-10-Core-CPU-and-10-Core-GPU-Gigabit-Ethernet-?fnode=8b57f748264a8c5211f0c73dec43db1253c86137b6d8926f7c9694419b92148c1ba6363986d4c775e7ba120a2b18a6b35c6373592eeaebddc092f404fd9c40dc5ed98689579f7e18f95bfeec36f34607,G1CFAB,2025-07-30 09:37:46
Refurbished 24-inch iMac Apple M3 Chip with 8-Core CPU and 8-Core GPU - Pink,M3,8-Core CPU,8-Core GPU,8GB,256GB,24-inch,Pink,929.0,1199.0,270.0,22.52,Wi-Fi,https://www.apple.com/uk/shop/product/FQRD3B/A/Refurbished-24-inch-iMac-Apple-M3-Chip-with-8-Core-CPU-and-8-Core-GPU-Pink?fnode=8b57f748264a8c5211f0c73dec43db1253c86137b6d8926f7c9694419b92148c1ba6363986d4c775e7ba120a2b18a6b35c6373592eeaebddc092f404fd9c40dc5ed98689579f7e18f95bfeec36f34607,FQRD3B,2025-07-30 09:37:47
Refurbished 24-inch iMac Apple M3 Chip with 8-Core CPU and 8-Core GPU - Blue,M3,8-Core CPU,8-Core GPU,8GB,256GB,24-inch,Blue,929.0,1199.0,270.0,22.52,Wi-Fi,https://www.apple.com/uk/shop/product/FQRC3B/A/Refurbished-24-inch-iMac-Apple-M3-Chip-with-8-Core-CPU-and-8-Core-GPU-Blue?fnode=8b57f748264a8c5211f0c73dec43db1253c86137b6d8926f7c9694419b92148c1ba6363986d4c775e7ba120a2b18a6b35c6373592eeaebddc092f404fd9c40dc5ed98689579f7e18f95bfeec36f34607,FQRC3B,2025-07-30 09:37:48
Refurbished 15-inch MacBook Air Apple M3 Chip with 8‑Core CPU and 10‑Core GPU - Space Grey,M3,8-Core CPU,10-Core GPU,16GB,256GB,15-inch,Space Grey,,,,,Wi-Fi,https://www.apple.com/uk/shop/product/G1BP0B/A/Refurbished-15-inch-MacBook-Air-Apple-M3-Chip-with-8-Core-CPU-and-10-Core-GPU-Space-Grey?fnode=8b57f748264a8c5211f0c73dec43db1253c86137b6d8926f7c9694419b92148c1ba6363986d4c775e7ba120a2b18a6b35c6373592eeaebddc092f404fd9c40dc5ed98689579f7e18f95bfeec36f34607,G1BP0B,2025-07-30 09:37:49
Refurbished 15-inch MacBook Air Apple M3 Chip with 8‑Core CPU and 10‑Core GPU - Silver,M3,8-Core CPU,10-Core GPU,16GB,256GB,15-inch,Silver,,,,,Wi-Fi,https://www.apple.com/uk/shop/product/G1BR0B/A/Refurbished-15-inch-MacBook-Air-Apple-M3-Chip-with-8-Core-CPU-and-10-Core-GPU-Silver?fnode=8b57f748264a8c5211f0c73dec43db1253c86137b6d8926f7c9694419b92148c1ba6363986d4c775e7ba120a2b18a6b35c6373592eeaebddc092f404fd9c40dc5ed98689579f7e18f95bfeec36f34607,G1BR0B,2025-07-30 09:37:50
Refurbished 15-inch MacBook Air Apple M3 Chip with 8‑Core CPU and 10‑Core GPU - Starlight,M3,8-Core CPU,10-Core GPU,16GB,256GB,15-inch,Starlight,,,,,Wi-Fi,https://www.apple.com/uk/shop/product/G1BT0B/A/Refurbished-15-inch-MacBook-Air-Apple-M3-Chip-with-8%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Starlight?fnode=8b57f748264a8c5211f0c73dec43db1253c86137b6d8926f7c9694419b92148c1ba6363986d4c775e7ba120a2b18a6b35c6373592eeaebddc092f404fd9c40dc5ed98689579f7e18f95bfeec36f34607,G1BT0B,2025-07-30 09:37:51
Refurbished 15-inch MacBook Air Apple M3 Chip with 8‑Core CPU and 10‑Core GPU - Midnight,M3,8-Core CPU,10-Core GPU,16GB,256GB,15-inch,Midnight,,,,,Wi-Fi,https://www.apple.com/uk/shop/product/G1BV0B/A/Refurbished-15-inch-MacBook-Air-Apple-M3-Chip-with-8-Core-CPU-and-10-Core-GPU-Midnight?fnode=8b57f748264a8c5211f0c73dec43db1253c86137b6d8926f7c9694419b92148c1ba6363986d4c775e7ba120a2b18a6b35c6373592eeaebddc092f404fd9c40dc5ed98689579f7e18f95bfeec36f34607,G1BV0B,2025-07-30 09:37:52
Refurbished Mac mini Apple M2 Pro Chip with 10‑Core CPU and 16‑Core GPU,M2 Pro,10-Core CPU,16-Core GPU,16GB,512GB,,,999.0,1299.0,300.0,23.09,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FNH73B/A/refurbished-mac-mini-apple-m2-pro-chip-with-10%E2%80%91core-cpu-and-16%E2%80%91core-gpu?fnode=8b57f748264a8c5211f0c73dec43db1253c86137b6d8926f7c9694419b92148c1ba6363986d4c775e7ba120a2b18a6b35c6373592eeaebddc092f404fd9c40dc5ed98689579f7e18f95bfeec36f34607,FNH73B,2025-07-30 09:37:53
"Refurbished 24-inch iMac Apple M1 Chip with 8‑Core CPU and 8‑Core GPU, Gigabit Ethernet - Orange",M1,8-Core CPU,8-Core GPU,8GB,256GB,24-inch,Orange,1009.0,1549.0,540.0,34.86,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FGPR3B/A/Refurbished-24-inch-iMac-Apple-M1-Chip-with-8%E2%80%91Core-CPU-and-8%E2%80%91Core-GPU-Gigabit-Ethernet-Silver?fnode=8b57f748264a8c5211f0c73dec43db1253c86137b6d8926f7c9694419b92148c1ba6363986d4c775e7ba120a2b18a6b35c6373592eeaebddc092f404fd9c40dc5ed98689579f7e18f95bfeec36f34607,FGPR3B,2025-07-30 09:37:54
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Sky Blue,M4,10-Core CPU,10-Core GPU,16GB,512GB,13-inch,Blue,1019.0,1199.0,180.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FC6U4B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Sky-Blue?fnode=8b57f748264a8c5211f0c73dec43db1253c86137b6d8926f7c9694419b92148c1ba6363986d4c775e7ba120a2b18a6b35c6373592eeaebddc092f404fd9c40dc5ed98689579f7e18f95bfeec36f34607,FC6U4B,2025-07-30 09:37:55
