Title,Condition,Price,Change,URL,Machine,Model,Year,CPU,CPU Cores,HD (GB),RAM (GB),GPU,Colour,Grade,Seller,Warning,Timestamp,Timestamp Day,Timestamp Day.1,Variant ID
Refurbished Mac mini Apple M2 Pro Chip with 10‑Core CPU and 16‑Core GPU,Refurbished,999.0,0,https://www.apple.com/uk/shop/product/FNH73B/A/refurbished-mac-mini-apple-m2-pro-chip-with-10%E2%80%91core-cpu-and-16%E2%80%91core-gpu?fnode=f7e8266d7f8d06a0352bf453567398f059d38b058617ea4fe9dc3ea5306bb32594f202710691130aa4274d64a55e0ec91161da2d79153774191875abebe77738525b83b6ef3a4f901583fb7640287c07,Mac mini,M2 Pro,2023.0,M2 Pro,10,512,16.0,16,,Excellent,Apple,,2025-08-06 11:52:31,2025-08-06,2025-08-06,
"Refurbished 24-inch iMac Apple M1 Chip with 8‑Core CPU and 8‑Core GPU, Gigabit Ethernet - Orange",Refurbished,1009.0,0,https://www.apple.com/uk/shop/product/FGPR3B/A/Refurbished-24-inch-iMac-Apple-M1-Chip-with-8%E2%80%91Core-CPU-and-8%E2%80%91Core-GPU-Gigabit-Ethernet-Silver?fnode=f7e8266d7f8d06a0352bf453567398f059d38b058617ea4fe9dc3ea5306bb32594f202710691130aa4274d64a55e0ec91161da2d79153774191875abebe77738525b83b6ef3a4f901583fb7640287c07,iMac 24-inch,M1,2020.0,M1,8,256,8.0,8,Orange,Excellent,Apple,,2025-08-06 11:52:31,2025-08-06,2025-08-06,
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Sky Blue,Refurbished,1019.0,0,https://www.apple.com/uk/shop/product/FC6U4B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Sky-Blue?fnode=f7e8266d7f8d06a0352bf453567398f059d38b058617ea4fe9dc3ea5306bb32594f202710691130aa4274d64a55e0ec91161da2d79153774191875abebe77738525b83b6ef3a4f901583fb7640287c07,MacBook Air 13-inch,M4,2024.0,M4,10,512,16.0,10,Blue,Excellent,Apple,,2025-08-06 11:52:31,2025-08-06,2025-08-06,
Refurbished 15-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Sky Blue,Refurbished,1019.0,0,https://www.apple.com/uk/shop/product/FC7A4B/A/Refurbished-15-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Sky-Blue?fnode=f7e8266d7f8d06a0352bf453567398f059d38b058617ea4fe9dc3ea5306bb32594f202710691130aa4274d64a55e0ec91161da2d79153774191875abebe77738525b83b6ef3a4f901583fb7640287c07,MacBook Air 15-inch,M4,2024.0,M4,10,256,16.0,10,Blue,Excellent,Apple,,2025-08-06 11:52:31,2025-08-06,2025-08-06,
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Starlight,Refurbished,1019.0,0,https://www.apple.com/uk/shop/product/FW103B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Starlight?fnode=f7e8266d7f8d06a0352bf453567398f059d38b058617ea4fe9dc3ea5306bb32594f202710691130aa4274d64a55e0ec91161da2d79153774191875abebe77738525b83b6ef3a4f901583fb7640287c07,MacBook Air 13-inch,M4,2024.0,M4,10,512,16.0,10,Starlight,Excellent,Apple,,2025-08-06 11:52:31,2025-08-06,2025-08-06,
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Midnight,Refurbished,1019.0,0,https://www.apple.com/uk/shop/product/FW133B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Midnight?fnode=f7e8266d7f8d06a0352bf453567398f059d38b058617ea4fe9dc3ea5306bb32594f202710691130aa4274d64a55e0ec91161da2d79153774191875abebe77738525b83b6ef3a4f901583fb7640287c07,MacBook Air 13-inch,M4,2024.0,M4,10,512,16.0,10,Midnight,Excellent,Apple,,2025-08-06 11:52:31,2025-08-06,2025-08-06,
Refurbished 15-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Silver,Refurbished,1019.0,0,https://www.apple.com/uk/shop/product/FW1G3B/A/Refurbished-15-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Silver?fnode=f7e8266d7f8d06a0352bf453567398f059d38b058617ea4fe9dc3ea5306bb32594f202710691130aa4274d64a55e0ec91161da2d79153774191875abebe77738525b83b6ef3a4f901583fb7640287c07,MacBook Air 15-inch,M4,2024.0,M4,10,256,16.0,10,Silver,Excellent,Apple,,2025-08-06 11:52:31,2025-08-06,2025-08-06,
Refurbished 15-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Starlight,Refurbished,1019.0,0,https://www.apple.com/uk/shop/product/FW1J3B/A/Refurbished-15-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Starlight?fnode=f7e8266d7f8d06a0352bf453567398f059d38b058617ea4fe9dc3ea5306bb32594f202710691130aa4274d64a55e0ec91161da2d79153774191875abebe77738525b83b6ef3a4f901583fb7640287c07,MacBook Air 15-inch,M4,2024.0,M4,10,256,16.0,10,Starlight,Excellent,Apple,,2025-08-06 11:52:31,2025-08-06,2025-08-06,
Refurbished 15-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Midnight,Refurbished,1019.0,0,https://www.apple.com/uk/shop/product/FW1L3B/A/Refurbished-15-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Midnight?fnode=f7e8266d7f8d06a0352bf453567398f059d38b058617ea4fe9dc3ea5306bb32594f202710691130aa4274d64a55e0ec91161da2d79153774191875abebe77738525b83b6ef3a4f901583fb7640287c07,MacBook Air 15-inch,M4,2024.0,M4,10,256,16.0,10,Midnight,Excellent,Apple,,2025-08-06 11:52:31,2025-08-06,2025-08-06,
Refurbished 13-inch MacBook Air Apple M2 Chip with 8‑Core CPU and 10‑Core GPU - Space Grey,Refurbished,1049.0,0,https://www.apple.com/uk/shop/product/G15T3B/A/refurbished-13-inch-macbook-air-apple-m2-chip-with-8%E2%80%91core-cpu-and-10%E2%80%91core-gpu-space-gray?fnode=f7e8266d7f8d06a0352bf453567398f059d38b058617ea4fe9dc3ea5306bb32594f202710691130aa4274d64a55e0ec91161da2d79153774191875abebe77738525b83b6ef3a4f901583fb7640287c07,MacBook Air 13-inch,M2,2022.0,M2,8,1TB,16.0,10,Space Grey,Excellent,Apple,,2025-08-06 11:52:31,2025-08-06,2025-08-06,
